Zip Code,Population
02301,68571
02148,65386
02155,62996
02360,60793
02151,60736
02169,60459
02124,56070
01960,54051
01841,53180
01844,52502
02780,51911
01902,51008
02149,48584
02703,46126
02740,45990
02128,45501
01201,45372
02135,45024
01970,44372
01453,43478
01420,41766
01085,41715
01915,41545
01752,41505
02130,41112
01801,40967
01604,40961
02136,40947
02150,40009
02139,39707
02138,39370
01702,38842
02184,38712
01040,38480
01545,38291
01852,36740
01760,36354
02302,35645
01810,35600
02127,35266
02472,35229
02368,34696
01701,33319
02038,33057
02125,32614
02131,32609
01851,32469
01826,32313
02446,31764
01821,31499
01845,31394
02062,31256
01109,31242
02720,31210
01876,30930
01020,30704
02453,30441
01605,30353
01757,30294
02121,29888
01930,29814
02176,29401
01854,29157
02072,29028
02760,28837
01089,28814
02115,28559
01906,28521
02186,28414
02119,28307
02474,28028
01843,27804
01923,27789
02118,27718
01830,27403
02145,27359
01002,27323
01880,27179
02478,27016
02721,26981
01905,26962
01602,26711
01824,26574
02132,26437
01108,26257
01803,26234
01610,26057
02215,25856
02050,25841
02126,25572
01832,25526
01867,25511
02144,25367
02026,25308
02143,25264
02324,25245
02745,24884
01886,24535
02346,24219
02021,24122
02043,24061
02048,23768
02122,23747
01609,23509
02467,23328
01887,23311
01104,23226
01720,23107
02180,23077
01606,22883
01890,22875
02747,22872
01013,22709
02116,22587
02445,21485
01440,21310
01581,21213
01056,21050
02492,20927
02129,20411
01945,20397
02081,20287
02536,20261
01603,20184
02170,20130
02140,20060
01749,20032
02171,19923
01904,19912
02766,19270
02152,19088
02459,19081
01776,18912
02421,18784
02066,18781
01721,18646
01748,18501
02067,18477
02134,18437
02035,18431
01742,18393
02359,18329
01950,18282
02724,18127
01075,18051
02476,18017
02451,17965
02190,17927
01301,17901
02370,17774
01027,17708
01570,17664
01550,17643
01913,17286
02601,17175
02777,17020
02481,16997
02351,16974
02019,16934
01520,16752
01501,16684
02746,16675
02723,16577
01850,16438
01028,16386
02790,16237
02452,16193
02188,16169
01106,16150
01001,16088
02090,16066
02332,16004
02719,15911
02726,15781
01532,15605
01864,15549
02420,15451
01247,15405
02771,15339
01007,15304
02189,15265
02767,15255
01510,15221
01907,15183
02382,15116
02120,15082
01118,15073
02649,14996
01060,14975
02339,14742
01095,14737
02333,14403
01746,14386
01730,14233
01835,14164
01778,14060
02141,13953
01569,13948
01331,13870
01527,13827
01119,13803
01938,13740
01003,13711
02364,13618
02053,13610
02554,13585
02114,13401
01507,13312
01940,13023
02052,12775
02532,12715
01030,12627
02744,12614
01105,12527
01879,12454
02769,12434
02458,12428
01107,12387
02093,12077
02632,12038
01562,11963
02356,11943
01571,11890
02493,11806
01463,11707
01462,11657
02330,11641
02465,11574
02056,11531
01540,11529
02347,11514
02748,11496
02375,11437
02343,11309
02061,11258
01450,11218
02494,10881
02645,10845
02571,10738
01862,10719
01754,10702
02482,10520
02743,10443
01082,10441
02341,10419
01475,10292
01588,10206
02045,10120
02631,10109
01460,10063
01772,9842
01062,9835
02762,9760
01949,9726
01863,9697
01151,9640
02460,9638
02563,9514
02673,9351
01077,9292
01590,9219
01504,9188
01516,9186
01952,9152
01230,9139
02466,9109
02664,9010
01543,8988
02540,8888
01069,8870
01607,8836
02568,8810
02054,8481
01833,8384
01523,8359
02025,8295
01057,8288
01921,8265
01267,8166
01220,8161
01473,8148
01564,8015
01432,7912
02191,7856
02111,7841
01568,7826
02338,7737
01364,7684
01982,7641
01519,7626
02379,7622
01583,7607
01469,7479
01464,7400
02648,7283
02675,7178
01536,7141
01775,7130
02537,7124
01966,7014
02461,6899
02718,6867
01840,6814
01834,6739
02113,6726
02779,6724
01860,6698
01983,6530
01566,6507
02660,6480
02739,6478
01226,6356
01430,6316
01524,6296
02653,6276
01756,6212
01534,6169
01073,6158
01969,6135
01033,6110
01747,6012
01129,5916
02030,5894
02770,5702
02642,5674
01238,5626
01740,5606
01719,5471
01944,5382
02738,5378
02468,5305
01035,5293
01741,5215
01773,5155
02539,5084
01373,5076
01451,5068
01984,5006
01612,5005
01036,4991
01376,4968
01005,4947
01240,4926
02032,4878
01585,4864
02210,4830
01505,4810
01608,4782
02717,4782
01560,4773
01535,4757
02322,4740
02538,4663
02633,4649
01985,4500
02764,4472
01770,4406
02702,4383
01452,4338
02108,4225
02142,4172
01468,4058
02576,3985
01922,3929
02667,3907
02644,3713
01010,3703
01370,3690
01436,3673
01375,3667
01929,3650
02109,3627
02464,3595
02657,3582
02715,3531
01541,3502
02639,3439
01506,3435
01827,3369
01908,3354
02655,3341
01503,3326
02559,3307
01518,3299
01225,3243
01128,3232
02562,3204
01431,3189
02638,3180
01529,3166
02325,3082
02367,2934
01522,2907
02635,2902
01360,2899
01951,2816
01351,2725
01083,2701
01542,2667
01223,2658
01235,2610
02668,2604
01038,2601
01050,2593
01521,2591
01063,2532
01337,2492
02725,2490
02556,2457
02575,2432
01096,2413
01237,2332
02110,2307
01901,2291
01080,2276
01434,2245
01022,2235
01611,2209
02163,2198
01103,2168
02535,2151
01515,2040
01257,2034
01053,2016
01034,1991
02630,1953
01731,1917
02457,1848
01340,1818
02646,1801
01054,1794
02558,1779
01537,1775
02557,1762
01081,1748
02763,1720
01354,1708
01344,1697
01039,1675
01474,1665
01341,1658
01236,1632
01262,1627
01068,1621
02357,1582
01031,1577
01330,1542
01339,1493
01368,1461
02462,1381
01072,1374
02670,1373
01011,1332
01071,1280
02071,1248
01092,1248
02199,1232
01008,1171
02659,1141
01366,1141
01342,1135
02534,1127
01026,1071
01531,1052
01098,1042
02561,1025
01355,1010
01254,995
02652,990
01270,949
02543,924
01266,920
01965,903
01253,879
02671,870
01255,865
02542,847
01379,819
01009,800
01245,771
01718,767
02650,764
01378,762
01222,754
01259,720
01349,715
01256,708
01037,692
01088,663
01070,621
02666,585
01074,584
01745,538
01079,521
01029,511
01012,503
01367,473
01032,430
01346,407
02663,398
01438,365
02791,361
01260,331
02637,292
01242,279
01264,252
01347,207
02366,194
02047,187
01224,186
